Headword,Greek ,Part of Speech,English
λείπω,"λείπω, λείψω, ἔλιπον, ἐλείφθην",verb,I leave (behind)
λίθος,"λίθος, λίθου, ὁ",,stone
λιμήν,"λιμήν, λιμένος, ὁ",,harbour
λόγος,"λόγος, λόγου, ὁ",,"word, speech, argument, story, account, reason"
λύω,λύω,verb,"I untie, set free"
μάλιστα,μάλιστα,,"most, very much, especially"
μᾶλλον,μᾶλλον,,more
μανθάνω,"μανθάνω, μαθήσομαι, ἔμαθον",verb,"I learn, understand"
μάχη,"μάχη, μάχης, ἡ",,battle
μάχομαι,"μάχομαι, μαχοῦμαι, ἐμαχεσάμην",verb,I fight
μέγας,"μέγας, μεγάλη, μέγα",,"big, great"
μέλλω,"μέλλω, μελλήσω, ἐμέλλησα",verb,"(+ fut. infin.) I intend, am going to, hesitate"
μέντοι,μέντοι,,however
μένω,"μένω, μενῶ, ἔμεινα",verb,"I wait, remain"
μετά,"μετά, + gen.",,with
μετά,"μετά, + acc.",,after
μή,μή,,not
μηδείς,"μηδείς, μηδεμία, μηδέν",,"no-one, nothing, no"
μηδέποτε,μηδέποτε,,never
μήτε...μήτε...,μήτε...μήτε...,,neither...nor
μήτηρ,"μήτηρ, μητρός, ἡ",,mother
μικρός,"μικρός, μικρά, μικρόν",,"little, small"
μισέω,μισέω,verb,I hate
μόνον,μόνον,,only
μόνος,"μόνος, μόνη, μόνον",,"alone, only"
μῦθος,"μῦθος, μύθου, ὁ",,story
μῶρος,"μῶρος, μώρα, μῶρον",,"stupid, foolish"
ναῦς,"ναῦς, νεώς, ἡ",,"(irregular) ship, warship"
ναύτης,"ναύτης, ναύτου, ὁ",,sailor
ναυτικόν,"ναυτικόν, ναυτικοῦ, τό",,fleet
νεανίας,"νεανίας, νεανίου, ὁ",,young man
νεκρός,"νεκρός, νεκροῦ, ὁ",,corpse
νέος,"νέος, νέα, νέον",,"new, young, recent"
νῆσος,"νῆσος, νήσου, ἡ",,island
νικάω,νικάω,verb,"I win, conquer"
νίκη,"νίκη, νίκης, ἡ",,victory
νομίζω,"νομίζω, νομιῶ, ἐνόμισα",verb,"I think, consider"
νόμος,"νόμος, νόμου, ὁ",,"law, custom"
νόσος,"νόσος, νόσου, ἡ",,disease
νῦν,νῦν,,now
νύξ,"νύξ, νυκτός, ἡ",,night
ξένος,"ξένος, ξένου, ὁ",,"stranger, foreigner, guest, host, friend"
ξίφος,"ξίφος, ξίφους, τό",,sword
ὁ αὐτός,"ὁ αὐτός, ἡ αὐτή, τὸ αὐτό",,the same
ὁ,"ὁ, ἡ, τό",,the
ὅδε,"ὅδε, ἥδε, τόδε",,this
ὁδός,"ὁδός, ὁδοῦ, ἡ",,"road, path, way, journey"
οἶδα,οἶδα,,"I know (present, participle and infinitive only)"
οἰκέω,οἰκέω,verb,"I live (in), inhabit, dwell"
οἰκία,"οἰκία, οἰκίας, ἡ",,"house, home"
οἶνος,"οἶνος, οἴνου, ὁ",,wine
οἷός τ' εἰμί,οἷός τ' εἰμί,verb,"I am able, I can"
ὀκτώ,ὀκτώ,,eight
ὀλίγοι,"ὀλίγοι, ὀλίγαι, ὀλίγα",,few
ὀλίγος,"ὀλίγος, ὀλίγη, ὀλίγον",,little
ὄνομα,"ὄνομα, ὀνόματος, τό",,name
ὅπλα,"ὅπλα, ὅπλων, τά",,"weapons, arms, armour"
ὁράω,"ὁράω, ὄψομαι, εἶδον, ὤφθην",verb,I see
ὀργίζομαι,"ὀργίζομαι, ὀργιοῦμαι, ὠργίσθην",verb,(+ dat.) I grow angry (with)
ὄρος,"ὄρος, ὄρους, τό",,mountain
ὅς,"ὅς, ἥ, ὅ",,"who, which"
ὅτι,ὅτι,,that
οὐ,"οὐ, οὐκ, οὐχ, οὐχι",,not
οὐδείς,"οὐδείς, οὐδεμία, οὐδέν",,"no-one, nothing, no"
οὐδέποτε,οὐδέποτε,,never
οὖν,οὖν,,"therefore, and so"
οὔτε,οὔτε...οὔτε…,,neither...nor
οὗτος,"οὗτος, αὕτη, τοῦτο",,this
οὕτω,οὕτω,,"so, in this way"
οὕτως,οὕτως,,"so, in this way"
παῖς,"παῖς, παιδός, ὁ, ἡ",,"child, son, daughter, boy, girl"
πάλαι,πάλαι,,"long ago, in the past, formerly"
παρά,"παρά, + gen.",,from
παρά,"παρά, + acc.",,"contrary to, along, to"
παρασκευάζω,παρασκευάζω,verb,I prepare
παρέχω,παρέχω,verb,"I provide, cause, produce"
πᾶς,"πᾶς, πᾶσα, πᾶν",,"all, every"
πάσχω,"πάσχω, πείσομαι, ἔπαθον",verb,"I suffer, experience"
πατήρ,"πατήρ, πατρός, ὁ",,father
παύομαι,παύομαι,verb,"(middle) I stop, cease from (doing something)"
παύω,παύω,verb,I stop
πείθομαι,"πείθομαι, πείσομαι, ἐπιθόμην",verb,I obey
πείθω,πείθω,verb,I persuade
πειράομαι,"πειράομαι, πειράσομαι",verb,I try
πέμπτος,"πέμπτος, πέμπτη, πέμπτον",,fifth
πέμπω,πέμπω,verb,I send
πέντε,πέντε,,five
περί,"περί, + gen.",,"about, concerning"
περί,"περί, + acc.",,round
πίνω,"πίνω, πιοῦμαι, ἔπιον",verb,I drink
πίπτω,"πίπτω, πεσοῦμαι, ἔπεσον",verb,I fall
πιστεύω,πιστεύω,verb,"(+ dat.) I believe, trust"
πιστός,"πιστός, πιστή, πιστόν",,faithful
πλέω,"πλέω, πλεύσομαι, ἔπλευσα",verb,I sail
πλήν,πλήν,,(+ gen.) except
πλοῖον,"πλοῖον, πλοίου, τό",,"boat, cargo ship"
πλούσιος,"πλούσιος, πλουσία, πλούσιον",,rich
πόθεν,πόθεν,,from where?
ποῖ,ποῖ,,to where?
ποιέω,ποιέω,verb,"I do, make"
ποῖος,"ποῖος, ποία, ποῖον",,what sort of?
πολέμιοι,"πολέμιοι, πολεμίων, οἱ",,the enemy
πόλεμος,"πόλεμος, πολέμου, ὁ",,war
πόλις,"πόλις, πόλεως, ἡ",,"city, state"
πολίτης,"πολίτης, πολίτου, ὁ",,citizen
πολλάκις,πολλάκις,,often
πολλοί,"πολλοί, πολλαί, πολλά",,many
πολύς,"πολύς, πολλή, πολύ",,much
πορεύομαι,"πορεύομαι, πορεύσομαι, ἐπορεύθην",verb,"I travel, march"
πόσοι,"πόσοι, πόσαι, πόσα",,how many?
πόσος,"πόσος, πόση, πόσον",,how big? how much?
ποταμός,"ποταμός, ποταμοῦ, ὁ",,river
πότε,πότε,,when?
ποῦ,ποῦ,,where?
πούς,"πούς, ποδός, ὁ",,foot
πράσσω,"πράσσω, πράξω, ἔπραξα, ἐπράχθην",verb,"I do, fare, manage"
πρό,πρό,,"(+ gen.) before, in front of"
πρός,πρός,,"(+ acc.) to, towards, against"
προσβάλλω,προσβάλλω,verb,(+ dat.) I attack
πρότερον,πρότερον,,"before, formerly"
πρῶτον,πρῶτον,,"at first, first"
πρῶτος,"πρῶτος, πρῶτη, πρῶτον",,first
πύλη,"πύλη, πύλης, ἡ",,gate
πυνθάνομαι,"πυνθάνομαι, πεύσομαι, ἐπυθόμην",verb,"I learn, ascertain, ask"
πῦρ,"πῦρ, πυρός, τό",,fire
πῶς,πῶς,,how?
ῥᾴδιος,"ῥᾴδιος, ῥᾳδία, ῥᾴδιον",,easy
σιγή,"σιγή, σιγῆς, ἡ",,silence
σῖτος,"σῖτος, σίτου, ὁ",,"food, corn, bread"
σός,"σός, σή, σόν",,your
σοφός,"σοφός, σοφή, σοφόν",,wise
στρατηγός,"στρατηγός, στρατηγοῦ, ὁ",,"general, commander"
στρατιά,"στρατιά, στρατιᾶς, ἡ",,"army, expedition"
στρατιώτης,"στρατιώτης, στρατιώτου, ὁ",,soldier
σύ,"σύ, σοῦ",,you (singular)
συλλέγω,"συλλέγω, συλλέξω, συνέλεξα",verb,"I collect, assemble"
σύμμαχοι,"σύμμαχοι, συμμάχων, οἱ",,allies
συμφορά,"συμφορά, συμφορᾶς, ἡ",,"misfortune, disaster, event"
σῴζω,"σῴζω, σώσω, ἐσώσα, ἐσώθην",verb,"I save, keep, get away safely (passive)"
σῶμα,"σῶμα, σώματος, τό",,body
ταχύς,"ταχύς, ταχεῖα, ταχύ",,"fast, quick"
τεῖχος,"τεῖχος, τείχους, τό",,wall
τέλος,τέλος,,"end (adv. in the end), at last, finally"
